Class	Continent1	Continent2	Country1	Country2	Country3	Family	funfact	Genus	git_url	HEIGHT	HEIGHT_IN_INCH	Infraclass	Kingdom	LENGTH	Life Span	name	Order	Phylum	Population size	POPULATION STATUS	Population Trend	SPECIES	SPEED_IN_MPH	Subclass	Subfamily	Subgenus	Suborder	Superorder	TOP SPEED	Tribe	url	WEIGHT	WEIGHT_IN_OZ	WEIGHT_IN_POUND	WINGSPAN
Aves						Accipitridae	" Among the rarest and most powerful birds in the world, the Philippine eagle has been declared the Philippine national bird. This eagle, because of its size and rarity, is also a highly desired bird for birdwatchers."	Pithecophaga	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Philippine-Eagle.jpg	50-60 cm	33.86-40.16 inches	Neognathae	Animalia	86-102 cm	30-60 yrs	Philippine Eagle	Accipitriformes	Chordata	250-600	Critically Endangered (CR)	Decreasing	Pithecophaga jefferyi	62.14 miles/hr	Neornithes	Buteoninae	Licmetis	Alcedini	Neoaves	100 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/angry-bird.jpg	4-8 kg	141.1-282.19 oz	8.82-17.64 pounds	184-220 cm
Aves						Accipitridae	" In Brazil, the Harpy eagle is also known as royal-hawk (in Portuguese: gaviÃ£o-real)."	Harpia	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Harpy-Eagle.jpg	50-60 cm	34.06-42.13 inches	Neognathae	Animalia	86.5-107 cm	25-35 yrs	Harpy Eagle	Accipitriformes	Chordata	20-50 thou	Near Threatened (NT)	Decreasing	Harpia harpyja	50.02 miles/hr	Neornithes	Harpiinae	Licmetis	Alcedini	Neoaves	80.5 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/harpy-eagle-harpia-harpyja.jpg	4-9 kg	141.1-317.47 oz	8.82-19.84 pounds	176-224 cm
Aves						Accipitridae	" In the United Kingdom, there have been several unusual instances of Red kites stealing food from people in a similar manner to gulls. One such occurrence took place in Marlow, Buckinghamshire, in which Red kites swooped down to steal sandwiches from people in one of the town's parks."	Milvus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Red-Kite.jpg	60 cm	23.62-27.56 inches	Neognathae	Animalia	60-70 cm	24-26 yrs	Red Kite	Accipitriformes	Chordata	50-67 thou	Near Threatened (NT)	Decreasing	Milvus milvus	113.71 miles/hr	Neornithes	Carduelinae	Licmetis	Alcedini	Neoaves	183 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/red-kite-catalonia-spain-mg-5333.jpg	"800-1,300 g"	28.22-45.86 oz	1.76-2.87 pounds	175-179 cm
Aves						Accipitridae	" The Anglo-Saxon name of the White-tailed eagle ""erne"" means ""soarer"". This bird has also many Gaelic names, including iolar sÃ¹il na grÃ¨ine or ""eagle of the sun's eye."""	Haliaeetus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/White-Tailed-Eagle.jpg	60 cm	25.98-37.01 inches	Neognathae	Animalia	66-94 cm	27-42 yrs	White-Tailed Eagle	Accipitriformes	Chordata	20-50 thou	Least Concern (LC)	Increasing	Haliaeetus albicilla	43.5 miles/hr	Neornithes	Buteoninae	Licmetis	Alcedini	Neoaves	70 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/Nr0wSABEsxP6ApCUIgmv.jpg	3-7 kg	105.82-246.92 oz	6.61-15.43 pounds	1.8-2.5 m
Aves						Accipitridae	 The Black kite is thought to be the world's most abundant species of raptor.	Milvus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Black-Kite.jpg	60 cm	21.65-23.62 inches	Neognathae	Animalia	55-60 cm	24-28 yrs	Black Kite	Accipitriformes	Chordata	1-2.5 mln	Least Concern (LC)	Stable	Milvus migrans	89.48 miles/hr	Neornithes	Carduelinae	Licmetis	Alcedini	Neoaves	144 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/black-kite-11.jpg	630-940 g	22.22-33.16 oz	1.39-2.07 pounds	140-150 cm
Aves						Accipitridae	" The Common black hawk has hybridized naturally with Red-shouldered hawk in Sonoma County, California, USA. This natural hybridization between different genera of hawks is rare."	Buteogallus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Common-Black-Hawk.jpg	60 cm	16.93-20.87 inches	Neognathae	Animalia	43-53 cm	13.5 yrs	Common Black Hawk	Accipitriformes	Chordata	2 Mln	Least Concern (LC)	Decreasing	Buteogallus anthracinus	44.74 miles/hr	Neornithes	Carduelinae	Licmetis	Alcedini	Neoaves	72 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/Arz86QMVd6Jsas53Pf97.jpg	793-1200 g	27.97-42.33 oz	1.75-2.65 pounds	122-127 cm
Aves						Accipitridae	" The Cooper's hawk was named in 1828 by Charles Lucien Bonaparte in honor of his friend and fellow ornithologist, William C. Cooper."	Accipiter	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Cooper's-Hawk.jpg	60 cm	13.78-19.69 inches	Neognathae	Animalia	35-50 cm	12 yrs	Cooper's Hawk	Accipitriformes	Chordata	"100,000-1 M"	Least Concern (LC)	Increasing	Accipiter cooperii	29.83 miles/hr	Neornithes	Carduelinae	Licmetis	Alcedini	Neoaves	48 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/coopers-hawk-9.jpg	220-700 g	7.76-24.69 oz	0.49-1.54 pounds	62-94 cm
Aves						Accipitridae	 The Crowned eagle is considered Africa's most powerful eagle when measured in terms of the weight of its prey items.	Stephanoaetus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Crowned-Eagle.jpg	50-60 cm	31.5-38.98 inches	Neognathae	Animalia	80-99 cm	14 yrs	Crowned Eagle	Accipitriformes	Chordata	"5,000-50,000"	Near Threatened (NT)	Decreasing	Stephanoaetus coronatus	100.04 miles/hr	Neornithes	Buteoninae	Licmetis	Alcedini	Neoaves	161 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/y946xkwMyTpqCfTHL5z8.jpg	2.5-4.7 kg	88.18-165.79 oz	5.51-10.36 pounds	1.5-1.9 m
Aves						Accipitridae	 The Galapagos hawk is the largest native bird in the Galapagos Archipelago.	Buteo	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Galapagos-Hawk.jpg	60 cm	17.72-22.83 inches	Neognathae	Animalia	45-58 cm	24 yrs	Galapagos Hawk	Accipitriformes	Chordata	400-500	Vulnerable (VU)	Stable	Buteo galapagoensis	34.18 miles/hr	Neornithes	Carduelinae	Licmetis	Alcedini	Neoaves	55 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/eQoMmrnfOeCLiqVnr8my.jpg	"844-1,223 g"	29.77-43.14 oz	1.86-2.7 pounds	116-140 cm
Aves						Accipitridae	" The Hawaiian hawk was a royal symbol in Hawaiian legend, and it is sometimes called â€œÊ»iolani,â€ or â€œexalted hawkâ€, which was the name of Kamehameha IV (monarch of Hawaii) and the Ê»Iolani Palace."	Buteo	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Hawaiian-Hawk.jpg	40-72 cm	15.75-18.11 inches	Neognathae	Animalia	40-46 cm	17 yrs	Hawaiian Hawk	Accipitriformes	Chordata	"1,100"	Near Threatened (NT)	Stable	Buteo solitarius	21.75 miles/hr	Neornithes	Halcyoninae	Licmetis	Alcedini	Neoaves	35 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/n1YotqRHg26PbmLo4AmV.jpg	441-605 g	15.56-21.34 oz	0.97-1.33 pounds	25-28 cm
